Station,File_Name,Timestamp,Duration_sec
Radio Paradise,Radio Paradise_2025-03-18_16-59-18_1.mp3,2025-03-18_16-59-18,60
Mixcloud,Mixcloud_2025-03-18_17-00-21_2.mp3,2025-03-18_17-00-21,60
KRSC-FM,KRSC-FM_2025-03-18_17-00-24_3.mp3,2025-03-18_17-00-24,60
Listen2myradio,Listen2myradio_2025-03-18_17-01-27_4.mp3,2025-03-18_17-01-27,60
NPR Live,NPR Live_2025-03-18_17-01-30_5.mp3,2025-03-18_17-01-30,60
KEXP Radio,KEXP Radio_2025-03-18_17-02-33_6.mp3,2025-03-18_17-02-33,60
Radio Swiss Jazz,Radio Swiss Jazz_2025-03-18_17-03-38_7.mp3,2025-03-18_17-03-38,60
FIP Radio,FIP Radio_2025-03-18_17-04-41_8.mp3,2025-03-18_17-04-41,60
SomaFM Groove Salad,SomaFM Groove Salad_2025-03-18_17-05-44_9.mp3,2025-03-18_17-05-44,60
WNYC FM,WNYC FM_2025-03-18_17-06-48_10.mp3,2025-03-18_17-06-48,60
WFMU 91.1 FM,WFMU 91.1 FM_2025-03-18_17-07-51_11.mp3,2025-03-18_17-07-51,60
Radio Paradise,Radio Paradise_2025-03-18_17-08-54_12.mp3,2025-03-18_17-08-54,60
Mixcloud,Mixcloud_2025-03-18_17-09-56_13.mp3,2025-03-18_17-09-56,60
KRSC-FM,KRSC-FM_2025-03-18_17-10-01_14.mp3,2025-03-18_17-10-01,60
Listen2myradio,Listen2myradio_2025-03-18_17-11-04_15.mp3,2025-03-18_17-11-04,60
NPR Live,NPR Live_2025-03-18_17-11-07_16.mp3,2025-03-18_17-11-07,60
KEXP Radio,KEXP Radio_2025-03-18_17-12-11_17.mp3,2025-03-18_17-12-11,60
Radio Swiss Jazz,Radio Swiss Jazz_2025-03-18_17-13-15_18.mp3,2025-03-18_17-13-15,60
FIP Radio,FIP Radio_2025-03-18_17-14-20_19.mp3,2025-03-18_17-14-20,60
SomaFM Groove Salad,SomaFM Groove Salad_2025-03-18_17-15-23_20.mp3,2025-03-18_17-15-23,60
WNYC FM,WNYC FM_2025-03-18_17-16-25_21.mp3,2025-03-18_17-16-25,60
WFMU 91.1 FM,WFMU 91.1 FM_2025-03-18_17-17-29_22.mp3,2025-03-18_17-17-29,60
Radio Paradise,Radio Paradise_2025-03-18_17-18-31_23.mp3,2025-03-18_17-18-31,60
Mixcloud,Mixcloud_2025-03-18_17-19-34_24.mp3,2025-03-18_17-19-34,60
KRSC-FM,KRSC-FM_2025-03-18_17-19-38_25.mp3,2025-03-18_17-19-38,60
Listen2myradio,Listen2myradio_2025-03-18_17-20-41_26.mp3,2025-03-18_17-20-41,60
NPR Live,NPR Live_2025-03-18_17-20-44_27.mp3,2025-03-18_17-20-44,60
KEXP Radio,KEXP Radio_2025-03-18_17-21-48_28.mp3,2025-03-18_17-21-48,60
Radio Swiss Jazz,Radio Swiss Jazz_2025-03-18_17-22-53_29.mp3,2025-03-18_17-22-53,60
FIP Radio,FIP Radio_2025-03-18_17-23-56_30.mp3,2025-03-18_17-23-56,60
